,MCF7,T47D,ZR-75
RSS,1.66707,0.920966,1.97754
_kAktDephos,0.882648,9.0491,9727.0
_kAktPhos_kcat,0.14607699999999998,647.158,445.796
_kAktPhos_km,0.00237519,1392.19,0.0001
_kFourEBP1Phos_kcat,3.1509,14.0485,445.774
_kFourEBP1Phos_km,94.1042,326.24,9950.54
_kIRS1Dephos_kcat,1404.52,250.313,0.00310878
_kIRS1Dephos_km,140.31,6.52312,1493.06
_kIRS1Phos_kcat,134.993,1126.45,7.807239999999998
_kIRS1Phos_km,59.2593,124.062,8621.52
_kPI3KDephos,0.0115445,0.000111608,2.06567
_kPI3KPhos_kcat,146.07399999999996,0.0145566,0.00246667
_kPI3KPhos_km,5511.56,0.0519524,9.57925
_kPras40PhosByAkt_kcat,1.01504,26.7066,61.378
_kPras40PhosByAkt_km,0.016700299999999998,165.166,199.21400000000003
_kS6KPhosS229_kcat,0.155506,15.6032,3.5618800000000004
_kS6KPhosS229_km,0.007197100000000001,1550.31,897.5269999999998
_kS6KT389Dephos,0.0542831,0.131841,0.0249573
_kS6KT389Phos_kcat,5.82838,9.37425,0.00160715
_kS6KT389Phos_km,2232.61,6186.54,0.00107015
_kTSC2Dephos,0.774393,0.0138259,0.00155264
_kTSC2Phos_kcat,0.789921,11.8289,0.170464
_kTSC2Phos_km,0.054039,5089.25,259.341
_pPI3K,3.33016,4.51276,3454.92
